,Anime Title,Release Year,Genre,Duration,Rating,Description,No. of Votes
384,The Kingdoms of Ruin,2023–OA,"Action,Drama,Fantasy",NA,NA,"In a world of science vs. magic, Adonis has sworn revenge on the human race for taking away his beloved mentor. What lies at the end of his destructive path?",NA
385,Maria the Virgin Witch,2015–OA,"Animation,Action,Adventure",24,6.7,"Maria, the most powerful witch who lives during the Hundred Years' War in France. She despises war, so she obstructs battles with her strong magical powers. However not everyone loves her action, including the angel.",328
386,Black Cat,2005–2006,"Animation,Action,Crime",25,7.0,"Train Heartnet is a famous assassin known as Black Cat. He works for Chronos, an organization that secretly controls the world. However, he begins to question the morality of his actions ...                See full summary »","1,192"
387,Kubo Won't Let Me Be Invisible,2023,"Animation,Comedy,Romance",24,7.0,"High school student Junta Shiraishi has a simple goal: To live a fulfilling youth. However, achieving this goal appears to be harder than expected, as everyone in his surroundings often ...                See full summary »",488
388,Her Blue Sky,2019,"Animation,Drama,Family",106,6.8,Second-year high school student Aoi Aioi is an aspiring musician. Her older sister Akane's ex-boyfriend Shinnosuke Kanomura is a struggling guitarist. Aoi and Akane's parents passed away in...                See full summary »,"1,405"
389,Appleseed Alpha,2014,"Animation,Action,Adventure",93,6.5,"A tough, cute woman and a cyborg arrive at a depopulated, post WW3 Times Sq. They leave the ruins of NYC with 2 on a secret mission.","8,735"
390,Dragonaut: The Resonance,2007–2009,"Animation,Action,Drama",25,6.1,"With a deadly asteroid hurtling towards Earth, sexy human Dragonauts in tight uniforms and their curvaceous dragon companions come together to create a formidable fighting force with all ...                See full summary »",135
391,Mega Man,1994–1995,"Animation,Action,Adventure",22,6.6,"Based off of the popular video game, Mega Man. In the year 200X, robot scientists Dr. Thomas Light and Dr. Albert Wily were completing their special project, robot assistants, which will ...                See full summary »","1,106"
392,Mobile Suit Gundam Thunderbolt,2015–2017,Sci-Fi,NA,7.5,It is the One Year War of U.C. 0079 and the Earth's Federation and Moore Brotherhood and the Principality of Zeon's Living Dead Division are in a intense battle at the Thuderbolt Sector in ...                See full summary »,76
393,Modest Heroes,2018,"Animation,Adventure,Family",53,6.6,"An anthology of three original shorts written and directed by Hiromasa Yonebayashi, Yoshiyuki Momose and Akihiko Yamashita.","3,000"
394,Revolutionary Girl Utena: The Movie,1999,"Animation,Action,Adventure",100,7.2,"Utena Tenjou disguises herself as a boy for the Ohtori Academy, however she encounters trouble due to a ring which shows she's skilled duelist. As well as this, the vice president of the school challenges her to a duel","1,721"
395,Beyblade X,2023–OA,"Animation,Action,Adventure",NA,NA,"A young boy who aims to be a professional Beyblade player. He aims to get to X Tower, where professional Beyblade players gather.",NA
396,Pengin haiwei,2018,"Animation,Adventure,Family",117,7.1,"A fourth-grader, Aoyama-kun, investigates the mysterious reason behind the sudden appearance of penguins in his village, which is somehow related to a power from a young woman working at a dental clinic.","3,585"
397,Bottom-Tier Character Tomozaki,2021–OA,"Animation,Comedy,Drama",24,7.0,"Tomozaki is one of the best gamers in Japan, and in his opinion, the game of real life is one of the worst. No clear-cut rules for success, horribly balanced, and nothing makes sense. But ...                See full summary »","1,182"
398,Armitage III: Dual Matrix,2001OAVideo,"Animation,Drama,Sci-Fi",90,6.3,"Five years after the OAV series, Third series robot Naomi Armitage and her husband Ross Sylibus now live peacefully on Mars with their daughter, until a corporation wants to know the secrets of the third's ability to bear children.","1,212"
399,Dear Brother,1991–1992,"Animation,Drama,Romance",25,7.6,"Nanako and her childhood friend Tomoko enter a special all-girl high school where students are rich upper class. The series is about events that take place during her schooldays, which she chronicles in letters she sends to her brother.",270
400,Astro Boy,2003–2004,"Animation,Action,Adventure",30,6.9,"Starring Astro, Japan's first Superhero and a modern folk hero- an anime adaption for the new century based on the seminal manga 'Astro Boy' by the 'God of Manga' Osamu Tezuka.",559
401,Vexille,2007,"Animation,Action,Sci-Fi",109,6.8,"Japan, 2077: A female agent named Vexille is dispatched to Tokyo to investigate whether Japanese are developing robotic technology, which has been banned by the U.N. due to its potential threat to humankind.","7,808"
402,Sasaki and Miyano: Graduation chapter,2023,"Animation,Romance",59,8.9,Sasaki and Miyano navigate their new relationship as Sasaki's graduation from high school approaches.,18
403,The Idolm@ster,2011,"Animation,Drama,Music",30,6.6,The arduous struggle of the 13 girls from Talent Production 765 who dream of one day becoming idols in the competitive Japanese entertainment industry.,214
404,Vandread,2000–2001,"Action,Animation,Comedy",NA,7.0,In a space-fairing future the war between sexes becomes literal. A kid who works in a factory that produces giant military robots decides to steal one for himself and ends up in the middle of a dogfight that leads into an adventure.,901
405,Yamada-kun to 7-nin no Majo,2014–2015,"Animation,Comedy,Fantasy",24,7.2,Ryu Yamada is kissing his normal life goodbye after he ends up in a bizarre body swap with honor student Urara Shiraishi!,"2,426"
406,Medabots,1999–2004,"Animation,Action,Adventure",30,6.7,"10-year-old Ikki Tenrio has always dreamed about becoming a top-ranked medafighter, and now that he has his own medabot he can finally pursue his dream.","2,425"
407,Amagi Brilliant Park,2014–2015,"Animation,Comedy,Fantasy",24,7.0,"The film is set in an amusement park in the Tokyo suburbs of Japan, with a princess at the center of the story.","1,307"
408,Raven of the Inner Palace,2022,"Animation,Fantasy,History",23,7.3,"The Raven Consort is a special consort living deep in the inner palace; Shouxue has the ability to use mysterious arts and will accept any favor asked of her, whether it is to find something lost or to curse someone to death.",326
409,Oishinbo,1988–1992,"Animation,Comedy,Drama",23,7.6,Oishinbo is a drama about newspaper reporters. The main character is a cynical food critic named Yamaoka.,26
410,Class of '09,2021OAVideoOAGame,"Comedy,Crime",NA,7.2,"After her father commits suicide, a sociopathic girl enrolls into a new American high school in the late 2000's, intending to manipulate and bully her fellow students for status.",11
411,"My Sister, My Writer",2018–2019,"Animation,Comedy,Romance",24,4.1,The story centers around the younger sister Nagami Suzuka and the older brother Nagami. Suzuka is a beautiful third-year middle school student who has excellent grades and is the student ...                See full summary »,173
412,Bright: Samurai Soul,2021,"Animation,Action,Adventure",80,5.5,"Izo, a Ronin, and Raiden, an orc, work to bring a young elf girl and the wand she carries to the land of the elves in the north.","1,008"
413,Engine Sentai Go-onger,2008–2009,"Action,Adventure,Comedy",25,6.4,Six giant vehicular beings called Engines chase down three Pollution Ministers' from the Barbaric Machine Clan Gaiark from the Engine's home world to Earth. The six Engines manage to pursue...                See full summary »,134
414,Digimon Tamers,2001–2002,"Animation,Action,Adventure",NA,7.6,"An animated series based on the popular children's toy ""Digimon"", in which kids raise electronic monsters to fight against those raised by other kids. The show follows the adventures of a ...                See full summary »","2,225"
415,Dance with Devils,2015,"Animation,Fantasy,Musical",23,5.8,"Ritsuka Tachibana has always been a good student, so she is completely shocked when she is suddenly summoned by the student council. When her mother gets kidnapped, her life is turned ...                See full summary »",636
416,Macross Plus Movie Edition,1995,"Animation,Action,Drama",115,7.6,Movie compilation edition of the acclaimed OVA.,657
417,Little Witch Academia,2013,"Animation,Short,Adventure",26,7.3,"Inspired by a magician named Shiny Chariot, the lively Akko Kagari enters the Little Witch Academy with the dream of one day becoming as cool and great as her idol.","2,202"
418,Air Gear,2006–2008,"Animation,Action,Comedy",25,7.1,"A couple of orphans form a gang called Storm Riders and try to become top dogs in the competitive world of professional and street sport that involves Air Treks, futuristic motorized rollerblades that can achieve super speed.","1,366"
419,Master Keaton,1998–2000,"Animation,Action,Adventure",30,7.9,Taichi Keaton is a half-British half-Japanese archaeologist and SAS veteran of the Falklands War. He solves mysteries and investigates insurance fraud for Lloyd's around the world.,211
420,Kunoichi Tsubaki no mune no uchi,2022–OA,"Animation,Comedy,Drama",NA,6.4,"In an isolated female-only village of ninjas, a young girl wants to know what men are like.",178
421,When Supernatural Battles Became Commonplace,2014,"Animation,Action,Comedy",24,6.5,"The story focuses on Senko High School's Literature Club, whose five members; Jurai, Tomoyo, Hatoko, Sayumi, and Chifuyu, have all somehow developed superpowers. The superpowers have now ...                See full summary »",545
422,The Princess and the Pilot,2011,"Animation,Action,Adventure",99,7.0,"A pilot, despite being advised not to, bonds with a princess when he is tasked with escorting the royal subject overseas and across enemy territory to reunite her with her future husband.","1,225"
423,A Dog's Courage,IOA2018,"Animation,Adventure,Family",102,6.1,"Stray dogs who have been abandoned by humans find ""a place without humans"" and realize their identities and the meaning of freedom and self-identity.",219
424,BlackedTheAnime,2020–OA,"Action,Comedy,Drama",NA,1.7,Herroshiman befriends a 37 year old man named Greg and together they go on peril journeys and discover the truth of what the meaning of friendship really is.,"1,211"
425,Didn't I Say to Make My Abilities Average in the Next Life?!,2019,"Animation,Action,Adventure",23,6.5,"When she turns ten years old, Adele von Ascham is hit with a horrible headache-and memories of her previous life as an eighteen-year-old Japanese girl named Kurihara Misato. That life ...                See full summary »",761
